Forecast_ID,Fiscal_Year,VISN,Facility_Name,Contracting_Office,Category,Requirement_Title,Estimated_Value,Priority_Level,Status,Contract_Type,Anticipated_Set_Aside,Recompete,Incumbent_Contractor,Planned_Award_Quarter,Predicted_Days_to_Award,Predicted_Award_Amount,Predicted_Protest_Probability,Oversight_Probability,Composite_Risk_Score
FCST-001093,2026,3,VISN 3 Medical Center South,Strategic Acquisition Center (SAC) - Frederick,IT Services,IT Services Requirement - VISN 3 Medical Center South FY2026,1070840.86,Medium,Market Research,Time and Materials,Full and Open (No Set-Aside),No,,FY Q3,101.0,1.151699e+06,0.28,0.521,45.7
FCST-001094,2027,16,VISN 16 Medical Center North,Technology Acquisition Center (TAC),Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 16 Medical Center North FY2027,317894.53,Medium,Draft Solicitation,Blanket Purchase Agreement (BPA),Small Business,No,,FY Q4,76.0,309611.0,0.25,0.002,25.4
FCST-001095,2027,17,VISN 17 Medical Center Main,National Acquisition Center (NAC),Medical Equipment,Medical Equipment Requirement - VISN 17 Medical Center Main FY2027,628063.12,High,Market Research,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q2,96.0,625191.0,0.304,0.27,40.7
FCST-001096,2027,15,VISN 15 Medical Center North,Network Contracting Office (NCO) 3,Food Service,Food Service Requirement - VISN 15 Medical Center North FY2027,300969.58,Critical,Draft Solicitation,Time and Materials,Full and Open (No Set-Aside),Yes,Patriot LLC,FY Q1,98.0,312017.0,0.128,0.194,32.8
FCST-001097,2026,14,VISN 14 Medical Center Main,Technology Acquisition Center (TAC),Facilities Management,Facilities Management Requirement - VISN 14 Medical Center Main FY2026,79470.61,Medium,Market Research,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Meridian Partners,FY Q4,99.0,77705.0,0.284,0.012,31.1
FCST-001098,2026,9,VISN 9 Medical Center North,Strategic Acquisition Center (SAC) - Austin,IT Services,IT Services Requirement - VISN 9 Medical Center North FY2026,561789.0,Critical,On Hold,Labor Hour,Full and Open (No Set-Aside),No,,FY Q4,98.0,625118.0,0.2,0.354,38.4
FCST-001099,2027,16,VISN 16 Medical Center Main,National Acquisition Center (NAC),Facilities Management,Facilities Management Requirement - VISN 16 Medical Center Main FY2027,357309.3,Low,Market Research,Blanket Purchase Agreement (BPA),HUBZone,No,,FY Q1,75.0,351613.0,0.084,0.002,20.1
FCST-001100,2027,5,VISN 5 Medical Center Main,Network Contracting Office (NCO) 12,Medical Equipment,Medical Equipment Requirement - VISN 5 Medical Center Main FY2027,714860.32,Low,Planning,Firm Fixed Price,SDVOSB,Yes,Liberty Federal Services,FY Q1,78.0,703067.0,0.271,0.006,31.1
FCST-001101,2028,8,VISN 8 Medical Center North,Network Contracting Office (NCO) 5,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 8 Medical Center North FY2028,194828.47,Medium,Market Research,Firm Fixed Price,Small Business,Yes,Liberty Systems,FY Q4,74.0,187401.0,0.376,0.001,25.5
FCST-001102,2027,11,VISN 11 Medical Center North,Network Contracting Office (NCO) 2,Facilities Management,Facilities Management Requirement - VISN 11 Medical Center North FY2027,234682.21,Medium,Market Research,Firm Fixed Price,SDVOSB,Yes,Meridian Solutions,FY Q1,74.0,237372.0,0.281,0.001,23.9
FCST-001103,2026,12,VISN 12 Medical Center North,Denver Acquisition and Logistics Center (DALC),Pharmaceuticals,Pharmaceuticals Requirement - VISN 12 Medical Center North FY2026,168528.69,High,Planning,Firm Fixed Price,WOSB,Yes,Patriot LLC,FY Q2,77.0,166683.0,0.124,0.0,18.5
FCST-001104,2028,14,VISN 14 Medical Center South,Network Contracting Office (NCO) 14,Pharmaceuticals,Pharmaceuticals Requirement - VISN 14 Medical Center South FY2028,66679.24,Medium,On Hold,IDIQ,Full and Open (No Set-Aside),Yes,Guardian Technologies,FY Q4,103.0,69804.0,0.059,0.008,25.7
FCST-001106,2026,3,VISN 3 Medical Center East,Network Contracting Office (NCO) 8,Pharmaceuticals,Pharmaceuticals Requirement - VISN 3 Medical Center East FY2026,1191281.48,High,Market Research,Time and Materials,SDVOSB,Yes,Apex Partners,FY Q1,81.0,1.1757e+06,0.195,0.01,32.7
FCST-001107,2027,1,VISN 1 Medical Center Main,Network Contracting Office (NCO) 13,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 1 Medical Center Main FY2027,253811.19,Low,Market Research,Cost Plus Fixed Fee,8(a),Yes,Keystone Group,FY Q3,76.0,248541.0,0.445,0.001,30.0
FCST-001108,2027,12,VISN 12 Medical Center Main,Network Contracting Office (NCO) 11,Pharmaceuticals,Pharmaceuticals Requirement - VISN 12 Medical Center Main FY2027,395413.2,High,On Hold,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Anchor Associates,FY Q3,98.0,403771.0,0.272,0.119,38.2
FCST-001109,2028,2,VISN 2 Medical Center Main,Strategic Acquisition Center (SAC) - Austin,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 2 Medical Center Main FY2028,279959.08,Medium,Draft Solicitation,Time and Materials,Full and Open (No Set-Aside),Yes,Meridian LLC,FY Q3,98.0,281286.0,0.392,0.098,40.2
FCST-001110,2026,15,VISN 15 Medical Center Main,Network Contracting Office (NCO) 10,Pharmaceuticals,Pharmaceuticals Requirement - VISN 15 Medical Center Main FY2026,831293.92,Low,On Hold,Firm Fixed Price,VOSB,No,,FY Q1,79.0,824616.0,0.107,0.005,27.5
FCST-001111,2028,4,VISN 4 Medical Center South,National Acquisition Center (NAC),Construction,Construction Requirement - VISN 4 Medical Center South FY2028,12922022.62,Low,Draft Solicitation,Labor Hour,Full and Open (No Set-Aside),Yes,Vanguard Associates,FY Q3,140.0,1.4242875e+07,0.096,0.985,72.5
FCST-001112,2027,4,VISN 4 Medical Center North,Network Contracting Office (NCO) 13,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 4 Medical Center North FY2027,90571.29,Medium,Draft Solicitation,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q4,100.0,89989.0,0.464,0.017,37.7
FCST-001113,2027,12,VISN 12 Medical Center North,SAO West,Pharmaceuticals,Pharmaceuticals Requirement - VISN 12 Medical Center North FY2027,891589.92,High,Planning,Cost Plus Fixed Fee,Full and Open (No Set-Aside),Yes,Pinnacle Solutions,FY Q2,100.0,872899.0,0.112,0.255,38.6
FCST-001114,2027,4,VISN 4 Medical Center South,Network Contracting Office (NCO) 2,Construction,Construction Requirement - VISN 4 Medical Center South FY2027,1968882.68,Medium,On Hold,Firm Fixed Price,VOSB,No,,FY Q2,84.0,1.862208e+06,0.151,0.03,35.3
FCST-001115,2027,12,VISN 12 Medical Center Main,Network Contracting Office (NCO) 12,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 12 Medical Center Main FY2027,438777.63,Medium,Market Research,Firm Fixed Price,WOSB,No,,FY Q2,77.0,455282.0,0.132,0.002,24.0
FCST-001116,2026,8,VISN 8 Medical Center Main,Network Contracting Office (NCO) 11,Professional Services,Professional Services Requirement - VISN 8 Medical Center Main FY2026,437392.51,Medium,On Hold,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Beacon Inc.,FY Q2,99.0,483533.0,0.337,0.186,41.7
FCST-001117,2026,2,VISN 2 Medical Center North,Strategic Acquisition Center (SAC) - Frederick,Professional Services,Professional Services Requirement - VISN 2 Medical Center North FY2026,228416.6,Medium,On Hold,Firm Fixed Price,8(a),Yes,Precision Group,FY Q3,76.0,229117.0,0.401,0.001,28.0
FCST-001118,2027,4,VISN 4 Medical Center North,Network Contracting Office (NCO) 1,IT Services,IT Services Requirement - VISN 4 Medical Center North FY2027,384233.37,High,Planning,Time and Materials,SDVOSB,Yes,Liberty Consulting,FY Q3,76.0,390462.0,0.191,0.003,24.3
FCST-001119,2027,7,VISN 7 Medical Center North,Strategic Acquisition Center (SAC) - Austin,Facilities Management,Facilities Management Requirement - VISN 7 Medical Center North FY2027,2465186.57,Low,Planning,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Summit Group,FY Q2,105.0,2.308901e+06,0.11,0.7,46.0
FCST-001120,2027,12,VISN 12 Medical Center North,Network Contracting Office (NCO) 7,Medical Equipment,Medical Equipment Requirement - VISN 12 Medical Center North FY2027,239479.97,Medium,Market Research,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q2,97.0,238198.0,0.373,0.077,38.2
FCST-001121,2027,2,VISN 2 Medical Center Main,Strategic Acquisition Center (SAC) - Austin,Facilities Management,Facilities Management Requirement - VISN 2 Medical Center Main FY2027,101035.78,Low,Planning,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q3,95.0,107513.0,0.237,0.017,29.3
FCST-001122,2026,1,VISN 1 Medical Center North,Network Contracting Office (NCO) 18,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 1 Medical Center North FY2026,332483.52,Medium,Solicitation Released,Firm Fixed Price,WOSB,Yes,Frontier Federal Services,FY Q4,76.0,339014.0,0.129,0.002,21.9
FCST-001123,2026,18,VISN 18 Medical Center South,National Acquisition Center (NAC),Pharmaceuticals,Pharmaceuticals Requirement - VISN 18 Medical Center South FY2026,602899.24,Medium,Market Research,Firm Fixed Price,8(a),No,,FY Q4,76.0,612162.0,0.274,0.003,29.2
FCST-001124,2026,3,VISN 3 Medical Center South,Network Contracting Office (NCO) 18,Pharmaceuticals,Pharmaceuticals Requirement - VISN 3 Medical Center South FY2026,1653405.33,Medium,Market Research,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q3,100.0,1.621959e+06,0.452,0.549,51.8
FCST-001125,2027,18,VISN 18 Medical Center Main,SAO East,Transportation,Transportation Requirement - VISN 18 Medical Center Main FY2027,72359.4,Medium,Market Research,Time and Materials,Full and Open (No Set-Aside),No,,FY Q1,99.0,72145.0,0.224,0.01,28.8
FCST-001126,2026,5,VISN 5 Medical Center Main,Technology Acquisition Center (TAC),Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 5 Medical Center Main FY2026,179408.11,Medium,Market Research,Firm Fixed Price,SDVOSB,No,,FY Q3,77.0,183046.0,0.313,0.001,24.7
FCST-001128,2028,1,VISN 1 Medical Center North,Denver Acquisition and Logistics Center (DALC),Pharmaceuticals,Pharmaceuticals Requirement - VISN 1 Medical Center North FY2028,425548.39,Medium,On Hold,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Precision Inc.,FY Q1,98.0,439766.0,0.272,0.131,38.6
FCST-001129,2027,18,VISN 18 Medical Center South,Network Contracting Office (NCO) 18,Medical Equipment,Medical Equipment Requirement - VISN 18 Medical Center South FY2027,930447.58,High,Draft Solicitation,Time and Materials,Small Business,No,,FY Q2,80.0,896934.0,0.346,0.009,35.6
FCST-001130,2027,5,VISN 5 Medical Center North,Denver Acquisition and Logistics Center (DALC),Medical Equipment,Medical Equipment Requirement - VISN 5 Medical Center North FY2027,64683.51,Low,Market Research,Firm Fixed Price,HUBZone,Yes,Patriot Technologies,FY Q4,80.0,67713.0,0.097,0.0,15.2
FCST-001131,2026,12,VISN 12 Medical Center North,Network Contracting Office (NCO) 6,IT Services,IT Services Requirement - VISN 12 Medical Center North FY2026,1103034.36,Medium,Solicitation Released,Blanket Purchase Agreement (BPA),HUBZone,Yes,Frontier Enterprises,FY Q4,81.0,1.183891e+06,0.069,0.016,28.9
FCST-001132,2027,3,VISN 3 Medical Center Main,Network Contracting Office (NCO) 17,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 3 Medical Center Main FY2027,451460.23,Medium,Planning,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q4,98.0,461467.0,0.392,0.172,42.5
FCST-001133,2027,16,VISN 16 Medical Center North,Network Contracting Office (NCO) 6,Medical Equipment,Medical Equipment Requirement - VISN 16 Medical Center North FY2027,131924.19,High,On Hold,Blanket Purchase Agreement (BPA),Full and Open (No Set-Aside),No,,FY Q4,98.0,135378.0,0.199,0.04,30.5
FCST-001134,2027,15,VISN 15 Medical Center Main,Network Contracting Office (NCO) 6,Pharmaceuticals,Pharmaceuticals Requirement - VISN 15 Medical Center Main FY2027,121644.09,High,Solicitation Released,Cost Plus Fixed Fee,Full and Open (No Set-Aside),No,,FY Q4,98.0,132833.0,0.187,0.016,30.4
FCST-001135,2027,9,VISN 9 Medical Center South,Network Contracting Office (NCO) 8,Transportation,Transportation Requirement - VISN 9 Medical Center South FY2027,208749.66,Medium,On Hold,Firm Fixed Price,SDVOSB,No,,FY Q3,79.0,208906.0,0.232,0.001,24.1
FCST-001136,2027,11,VISN 11 Medical Center North,Network Contracting Office (NCO) 4,Facilities Management,Facilities Management Requirement - VISN 11 Medical Center North FY2027,539350.05,Medium,Solicitation Released,Time and Materials,SDVOSB,Yes,Atlas Consulting,FY Q2,76.0,549802.0,0.245,0.003,27.8
FCST-001137,2027,13,VISN 13 Medical Center South,Denver Acquisition and Logistics Center (DALC),Construction,Construction Requirement - VISN 13 Medical Center South FY2027,2281794.92,Low,On Hold,Firm Fixed Price,SDVOSB,Yes,Patriot Systems,FY Q1,88.0,2.229881e+06,0.131,0.038,37.6
FCST-001138,2028,15,VISN 15 Medical Center Main,Network Contracting Office (NCO) 7,Pharmaceuticals,Pharmaceuticals Requirement - VISN 15 Medical Center Main FY2028,1143513.42,Low,Market Research,IDIQ,Full and Open (No Set-Aside),No,,FY Q2,102.0,1.108992e+06,0.157,0.382,42.1
FCST-001139,2026,8,VISN 8 Medical Center North,Network Contracting Office (NCO) 13,Professional Services,Professional Services Requirement - VISN 8 Medical Center North FY2026,383833.44,Medium,Solicitation Released,Cost Plus Fixed Fee,Full and Open (No Set-Aside),Yes,Summit Consulting,FY Q2,97.0,421931.0,0.326,0.12,39.9
FCST-001140,2026,17,VISN 17 Medical Center West,Strategic Acquisition Center (SAC) - Frederick,Construction,Construction Requirement - VISN 17 Medical Center West FY2026,1576497.75,High,On Hold,IDIQ,Full and Open (No Set-Aside),Yes,Unity Partners,FY Q3,101.0,1.704537e+06,0.546,0.613,55.6
FCST-001141,2027,13,VISN 13 Medical Center Main,Network Contracting Office (NCO) 1,Pharmaceuticals,Pharmaceuticals Requirement - VISN 13 Medical Center Main FY2027,767463.58,Medium,Market Research,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q1,96.0,817789.0,0.28,0.272,41.3
FCST-001142,2026,8,VISN 8 Medical Center Main,Denver Acquisition and Logistics Center (DALC),Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 8 Medical Center Main FY2026,535187.74,Critical,On Hold,IDIQ,SDVOSB,No,,FY Q1,78.0,549807.0,0.301,0.003,30.5
FCST-001143,2026,10,VISN 10 Medical Center North,Network Contracting Office (NCO) 7,Pharmaceuticals,Pharmaceuticals Requirement - VISN 10 Medical Center North FY2026,121884.13,Medium,Planning,Firm Fixed Price,SDVOSB,No,,FY Q1,76.0,123306.0,0.175,0.0,18.5
FCST-001144,2026,4,VISN 4 Medical Center South,Network Contracting Office (NCO) 4,Facilities Management,Facilities Management Requirement - VISN 4 Medical Center South FY2026,197263.78,Critical,On Hold,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Patriot Group,FY Q2,93.0,202587.0,0.241,0.046,31.7
FCST-001145,2027,16,VISN 16 Medical Center Main,Network Contracting Office (NCO) 4,Facilities Management,Facilities Management Requirement - VISN 16 Medical Center Main FY2027,137969.32,Low,Draft Solicitation,Firm Fixed Price,SDVOSB,Yes,Atlas Group,FY Q1,75.0,139261.0,0.272,0.0,21.1
FCST-001146,2028,12,VISN 12 Medical Center North,Network Contracting Office (NCO) 8,Food Service,Food Service Requirement - VISN 12 Medical Center North FY2028,130583.88,Low,Market Research,Cost Plus Fixed Fee,SDVOSB,Yes,Liberty Partners,FY Q1,77.0,135868.0,0.215,0.001,20.4
FCST-001147,2027,14,VISN 14 Medical Center South,Network Contracting Office (NCO) 4,Food Service,Food Service Requirement - VISN 14 Medical Center South FY2027,30326.21,Low,Planning,Firm Fixed Price,Small Business,Yes,Apex Enterprises,FY Q1,76.0,28416.0,0.043,0.0,6.7
FCST-001148,2026,5,VISN 5 Medical Center Main,Strategic Acquisition Center (SAC) - Austin,IT Services,IT Services Requirement - VISN 5 Medical Center Main FY2026,569186.57,High,Solicitation Released,IDIQ,8(a),No,,FY Q3,77.0,624151.0,0.198,0.004,27.4
FCST-001149,2026,8,VISN 8 Medical Center North,Network Contracting Office (NCO) 5,Construction,Construction Requirement - VISN 8 Medical Center North FY2026,287671.31,Critical,Planning,Time and Materials,SDVOSB,Yes,Keystone Group,FY Q1,76.0,294786.0,0.288,0.002,25.9
FCST-001150,2026,9,VISN 9 Medical Center North,Network Contracting Office (NCO) 1,Security Services,Security Services Requirement - VISN 9 Medical Center North FY2026,96479.29,Low,Market Research,Firm Fixed Price,VOSB,Yes,Legacy Solutions,FY Q1,79.0,91431.0,0.273,0.0,21.2
FCST-001151,2027,12,VISN 12 Medical Center Main,Network Contracting Office (NCO) 15,Professional Services,Professional Services Requirement - VISN 12 Medical Center Main FY2027,617241.93,Low,Market Research,Cost Plus Fixed Fee,SDVOSB,No,,FY Q4,77.0,623610.0,0.262,0.004,29.5
FCST-001152,2028,7,VISN 7 Medical Center North,Network Contracting Office (NCO) 9,Professional Services,Professional Services Requirement - VISN 7 Medical Center North FY2028,380186.35,Low,Market Research,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q2,97.0,416775.0,0.323,0.156,39.7
FCST-001153,2026,14,VISN 14 Medical Center North,Strategic Acquisition Center (SAC) - Frederick,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 14 Medical Center North FY2026,343808.4,Medium,Draft Solicitation,Labor Hour,SDVOSB,No,,FY Q4,77.0,346423.0,0.322,0.003,28.6
FCST-001154,2027,4,VISN 4 Medical Center Main,Network Contracting Office (NCO) 8,IT Services,IT Services Requirement - VISN 4 Medical Center Main FY2027,621003.77,Low,Solicitation Released,Firm Fixed Price,SDVOSB,Yes,Apex Group,FY Q3,76.0,640191.0,0.162,0.005,26.0
FCST-001155,2026,5,VISN 5 Medical Center South,Network Contracting Office (NCO) 8,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 5 Medical Center South FY2026,260512.98,High,Draft Solicitation,Firm Fixed Price,WOSB,Yes,Precision Solutions,FY Q4,76.0,250346.0,0.14,0.001,20.6
FCST-001156,2027,16,VISN 16 Medical Center South,Network Contracting Office (NCO) 4,Food Service,Food Service Requirement - VISN 16 Medical Center South FY2027,101628.81,Medium,Market Research,Firm Fixed Price,SDVOSB,Yes,Summit Partners,FY Q1,76.0,103455.0,0.219,0.001,19.0
FCST-001157,2028,14,VISN 14 Medical Center North,Network Contracting Office (NCO) 17,Professional Services,Professional Services Requirement - VISN 14 Medical Center North FY2028,189449.54,Medium,Solicitation Released,Cost Plus Fixed Fee,8(a),Yes,Liberty Solutions,FY Q4,76.0,191823.0,0.395,0.001,27.2
FCST-001158,2027,16,VISN 16 Medical Center South,Network Contracting Office (NCO) 9,Medical Equipment,Medical Equipment Requirement - VISN 16 Medical Center South FY2027,428985.51,Critical,Planning,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Liberty Associates,FY Q3,97.0,444171.0,0.33,0.171,40.0
FCST-001159,2026,13,VISN 13 Medical Center North,Network Contracting Office (NCO) 5,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 13 Medical Center North FY2026,386697.81,Critical,Planning,Firm Fixed Price,SDVOSB,No,,FY Q2,76.0,379193.0,0.33,0.002,28.4
FCST-001160,2026,9,VISN 9 Medical Center West,Network Contracting Office (NCO) 1,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 9 Medical Center West FY2026,131906.7,Medium,Market Research,Cost Plus Fixed Fee,SDVOSB,No,,FY Q4,77.0,133971.0,0.362,0.0,24.8
FCST-001161,2028,17,VISN 17 Medical Center West,Network Contracting Office (NCO) 3,Pharmaceuticals,Pharmaceuticals Requirement - VISN 17 Medical Center West FY2028,807877.48,Low,Draft Solicitation,Time and Materials,Full and Open (No Set-Aside),Yes,Vanguard Industries,FY Q1,96.0,825045.0,0.135,0.307,36.7
FCST-001162,2026,18,VISN 18 Medical Center South,Strategic Acquisition Center (SAC) - Austin,IT Services,IT Services Requirement - VISN 18 Medical Center South FY2026,465993.63,Medium,Draft Solicitation,IDIQ,SDVOSB,No,,FY Q4,76.0,484705.0,0.196,0.003,25.9
FCST-001163,2026,2,VISN 2 Medical Center North,Network Contracting Office (NCO) 4,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 2 Medical Center North FY2026,145500.15,Low,Solicitation Released,IDIQ,Small Business,Yes,Meridian Solutions,FY Q2,77.0,141495.0,0.359,0.0,25.2
FCST-001164,2026,11,VISN 11 Medical Center North,Strategic Acquisition Center (SAC) - Frederick,IT Services,IT Services Requirement - VISN 11 Medical Center North FY2026,622341.71,High,On Hold,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Pinnacle Federal Services,FY Q1,97.0,655947.0,0.193,0.301,38.1
FCST-001165,2028,7,VISN 7 Medical Center North,Network Contracting Office (NCO) 18,Pharmaceuticals,Pharmaceuticals Requirement - VISN 7 Medical Center North FY2028,919102.7,Medium,Draft Solicitation,Firm Fixed Price,Small Business,No,,FY Q1,79.0,860646.0,0.202,0.006,30.6
FCST-001166,2027,15,VISN 15 Medical Center Main,Network Contracting Office (NCO) 8,Medical Equipment,Medical Equipment Requirement - VISN 15 Medical Center Main FY2027,886091.27,Low,Solicitation Released,Time and Materials,8(a),No,,FY Q2,79.0,858519.0,0.158,0.009,29.2
FCST-001167,2026,8,VISN 8 Medical Center Main,Network Contracting Office (NCO) 3,Medical Equipment,Medical Equipment Requirement - VISN 8 Medical Center Main FY2026,197091.22,Medium,Planning,Blanket Purchase Agreement (BPA),Full and Open (No Set-Aside),Yes,Patriot Group,FY Q3,96.0,189232.0,0.201,0.072,31.4
FCST-001168,2027,11,VISN 11 Medical Center North,Network Contracting Office (NCO) 15,Pharmaceuticals,Pharmaceuticals Requirement - VISN 11 Medical Center North FY2027,360156.43,Low,Solicitation Released,IDIQ,HUBZone,Yes,Summit Partners,FY Q1,77.0,356259.0,0.134,0.001,22.7
FCST-001169,2028,1,VISN 1 Medical Center North,Strategic Acquisition Center (SAC) - Austin,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 1 Medical Center North FY2028,1381752.74,Medium,Market Research,Cost Plus Fixed Fee,Full and Open (No Set-Aside),Yes,Legacy LLC,FY Q2,102.0,1.533434e+06,0.649,0.458,58.5
FCST-001170,2028,2,VISN 2 Medical Center Main,Network Contracting Office (NCO) 15,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 2 Medical Center Main FY2028,354200.34,Critical,Market Research,Time and Materials,SDVOSB,Yes,Vertex Industries,FY Q1,76.0,350188.0,0.349,0.002,28.7
FCST-001171,2027,11,VISN 11 Medical Center Main,Network Contracting Office (NCO) 16,Construction,Construction Requirement - VISN 11 Medical Center Main FY2027,2268104.93,Medium,Solicitation Released,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Unity Enterprises,FY Q4,110.0,2.16021e+06,0.149,0.756,49.5
FCST-001172,2026,8,VISN 8 Medical Center North,Network Contracting Office (NCO) 6,Construction,Construction Requirement - VISN 8 Medical Center North FY2026,1250303.32,High,On Hold,Firm Fixed Price,WOSB,No,,FY Q3,80.0,1.253826e+06,0.229,0.015,33.6
FCST-001173,2028,16,VISN 16 Medical Center North,Network Contracting Office (NCO) 5,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 16 Medical Center North FY2028,391750.19,Medium,Market Research,Time and Materials,SDVOSB,Yes,Patriot Industries,FY Q1,76.0,379485.0,0.363,0.002,29.5
FCST-001175,2027,16,VISN 16 Medical Center Main,Network Contracting Office (NCO) 14,Medical Equipment,Medical Equipment Requirement - VISN 16 Medical Center Main FY2027,775061.93,Critical,Market Research,Cost Plus Fixed Fee,Full and Open (No Set-Aside),Yes,Sterling Associates,FY Q3,96.0,826307.0,0.331,0.271,42.7
FCST-001176,2028,14,VISN 14 Medical Center Main,SAO East,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 14 Medical Center Main FY2028,187506.24,Low,Market Research,Time and Materials,Full and Open (No Set-Aside),No,,FY Q4,98.0,184681.0,0.427,0.055,39.2
FCST-001177,2026,18,VISN 18 Medical Center South,Network Contracting Office (NCO) 1,Medical Equipment,Medical Equipment Requirement - VISN 18 Medical Center South FY2026,477351.06,High,On Hold,Cost Plus Fixed Fee,8(a),Yes,Pinnacle Group,FY Q3,75.0,474428.0,0.363,0.002,30.4
FCST-001178,2027,4,VISN 4 Medical Center North,Network Contracting Office (NCO) 13,IT Services,IT Services Requirement - VISN 4 Medical Center North FY2027,199830.15,Medium,Solicitation Released,Time and Materials,SDVOSB,No,,FY Q1,77.0,199797.0,0.281,0.001,24.2
FCST-001179,2027,12,VISN 12 Medical Center North,Network Contracting Office (NCO) 15,Facilities Management,Facilities Management Requirement - VISN 12 Medical Center North FY2027,194770.73,Low,Market Research,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Guardian Enterprises,FY Q1,93.0,202587.0,0.241,0.045,31.7
FCST-001180,2026,13,VISN 13 Medical Center South,Network Contracting Office (NCO) 13,Transportation,Transportation Requirement - VISN 13 Medical Center South FY2026,1493065.52,Medium,Draft Solicitation,Cost Plus Fixed Fee,VOSB,No,,FY Q4,81.0,1.466184e+06,0.344,0.009,38.3
FCST-001181,2026,14,VISN 14 Medical Center North,Strategic Acquisition Center (SAC) - Frederick,Construction,Construction Requirement - VISN 14 Medical Center North FY2026,1384887.27,High,Solicitation Released,Labor Hour,SDVOSB,Yes,Horizon Inc.,FY Q1,82.0,1.466232e+06,0.404,0.026,40.6
FCST-001182,2026,14,VISN 14 Medical Center South,Network Contracting Office (NCO) 2,Construction,Construction Requirement - VISN 14 Medical Center South FY2026,510807.35,Medium,Solicitation Released,IDIQ,Full and Open (No Set-Aside),No,,FY Q4,98.0,540220.0,0.23,0.219,38.5
FCST-001183,2026,18,VISN 18 Medical Center Main,Network Contracting Office (NCO) 14,Medical Equipment,Medical Equipment Requirement - VISN 18 Medical Center Main FY2026,446591.87,Low,Draft Solicitation,Time and Materials,SDVOSB,Yes,Anchor Solutions,FY Q3,76.0,454774.0,0.37,0.003,30.5
FCST-001184,2026,5,VISN 5 Medical Center South,Strategic Acquisition Center (SAC) - Frederick,Medical Equipment,Medical Equipment Requirement - VISN 5 Medical Center South FY2026,555053.85,High,Draft Solicitation,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q4,97.0,559901.0,0.304,0.234,40.5
FCST-001185,2027,1,VISN 1 Medical Center North,Network Contracting Office (NCO) 9,Medical Equipment,Medical Equipment Requirement - VISN 1 Medical Center North FY2027,123928.67,Medium,On Hold,Time and Materials,Full and Open (No Set-Aside),Yes,Frontier Systems,FY Q3,98.0,130588.0,0.431,0.032,37.3
FCST-001186,2026,2,VISN 2 Medical Center Main,Network Contracting Office (NCO) 7,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 2 Medical Center Main FY2026,216935.57,High,Solicitation Released,IDIQ,Full and Open (No Set-Aside),Yes,Frontier Consulting,FY Q4,98.0,229371.0,0.418,0.057,40.2
FCST-001187,2027,5,VISN 5 Medical Center North,SAO East,Medical Equipment,Medical Equipment Requirement - VISN 5 Medical Center North FY2027,92000.97,Low,Market Research,Firm Fixed Price,Small Business,Yes,Summit Solutions,FY Q3,79.0,89779.0,0.39,0.0,24.4
FCST-001188,2027,7,VISN 7 Medical Center North,Network Contracting Office (NCO) 16,Pharmaceuticals,Pharmaceuticals Requirement - VISN 7 Medical Center North FY2027,730961.13,Low,Market Research,Cost Plus Fixed Fee,8(a),No,,FY Q2,78.0,739413.0,0.254,0.003,30.9
